# Benchmark Parameters
# Minimum Resolution: 1000
# Maximum Resolution: 9600
# Step Size: 600
# D Parameter: 1.0
# Runs Per Resolution: 10
# Timestamp: 20250307_212552
#
Resolution,Average Time (ms),Min Time (ms),Max Time (ms),Median Time (ms),Q1 Time (ms),Q3 Time (ms),Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Run 6 (ms),Run 7 (ms),Run 8 (ms),Run 9 (ms),Run 10 (ms)
1000,33.16185,32.2968,34.6112,33.049499999999995,32.745025,33.568375,34.6112,32.7134,32.371,32.8399,33.6099,32.2968,33.4792,33.5981,33.2226,32.8764
1600,79.61361000000001,76.9461,84.1851,79.31970000000001,77.97745,80.545975,77.7659,81.3575,80.2153,76.9461,84.1851,78.9141,77.7585,80.6562,79.7253,78.6121
2200,168.9069,164.3135,176.1841,167.33265,166.880625,170.85199999999998,166.7166,173.424,167.0727,164.3135,166.8166,176.1841,171.7659,167.3216,168.1103,167.3437
2800,271.06269000000003,266.4776,280.2835,268.43719999999996,266.75765,274.4281,280.2758,266.7388,266.4776,269.6184,266.569,267.256,266.8142,280.2835,275.5594,271.0342
3400,387.6737,384.402,392.1091,387.26135,386.36767499999996,388.390725,387.1215,385.5649,392.1091,387.4012,387.1023,386.1228,384.402,390.5429,388.5963,387.774
4000,520.69645,515.9776,533.6845,519.23525,517.796225,520.882325,518.2055,521.1294,533.6845,524.4153,519.9421,517.2808,515.9776,520.1411,518.5284,517.6598
4600,787.1322600000001,782.6094,791.446,786.45925,785.51725,789.873025,790.9919,785.4503,784.6121,782.6094,786.6184,785.7181,786.4943,790.9579,791.446,786.4242
5200,974.0669099999999,965.4423,983.783,971.6532,968.3581,980.5004,980.6926,968.1253,971.8316,983.783,979.9238,971.4748,966.9988,965.4423,983.3404,969.0565
5800,1227.2507500000002,1217.0418,1237.4898,1226.1504,1223.8050000000003,1232.266325,1224.3066000000001,1232.2900000000002,1217.0418,1224.7637,1237.4898,1227.5371,1233.891,1223.6378000000002,1219.3544000000002,1232.1953
6400,1433.74426,1386.8926,1479.2673,1436.00275,1431.349925,1443.825125,1386.8926,1392.0139,1431.5882,1479.2673,1431.2704999999999,1436.2957999999999,1458.3717000000001,1435.7097,1441.3990999999999,1444.6338
7000,1804.23202,1792.8321,1823.1356999999998,1802.00625,1796.07875,1809.343275,1823.1356999999998,1792.8321,1797.4394,1810.0418,1805.1999999999998,1817.6019000000001,1798.8125,1794.3838999999998,1795.6252,1807.2477000000001
7600,2120.84661,2081.9589,2194.6664,2108.1487500000003,2095.156625,2129.55055,2182.4447,2095.132,2081.9589,2124.9211,2095.2305,2108.3796,2107.9179,2131.0937,2086.7212999999997,2194.6664
8200,2584.92263,2536.6079,2645.1615,2578.3731,2567.874175,2601.023525,2598.5831,2578.8669999999997,2574.9292,2577.8792,2619.2382,2536.6079,2601.837,2550.6007,2565.5225,2645.1615
8800,2989.07608,2943.9829999999997,3039.8287,2988.5839,2978.4487750000003,2999.759825,2981.0983,2977.5656000000004,3000.4338000000002,2943.9829999999997,2971.0334000000003,2988.4038,3039.8287,2997.7379,2988.764,3001.9123
9400,3448.0721700000004,3427.4085,3465.2104,3450.15895,3436.97865,3457.919675,3458.3742,3456.5561,3434.5469,3432.4869,3465.2104,3444.2739,3451.2287,3461.5469000000003,3427.4085,3449.0892
