# Benchmark Parameters
# Minimum Resolution: 1000
# Maximum Resolution: 3200
# Step Size: 200
# D Parameter: 1.0
# Runs Per Resolution: 10
# Timestamp: 20250307_211939
#
Resolution,Average Time (ms),Min Time (ms),Max Time (ms),Median Time (ms),Q1 Time (ms),Q3 Time (ms),Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Run 6 (ms),Run 7 (ms),Run 8 (ms),Run 9 (ms),Run 10 (ms)
1000,134.6746,132.751,137.0626,134.4196,133.85952500000002,135.5392,136.3726,133.9433,132.751,133.8316,137.0626,134.1608,134.6784,133.4147,135.8129,134.7181
1200,235.26834,233.1583,237.6128,235.34494999999998,234.06645,236.39502499999998,235.0186,233.1583,236.4329,236.2814,233.909,233.5825,235.6713,234.5388,237.6128,236.4778
1400,332.41042,326.674,342.1538,331.7382,329.19989999999996,334.5054,328.6305,331.856,330.9081,342.1538,328.4,326.674,331.6204,334.398,334.9222,334.5412
1600,491.28258999999997,482.796,499.6902,490.38205000000005,487.39862500000004,495.093475,499.6902,486.9207,486.4416,490.4499,499.1842,488.8324,482.796,492.1081,490.3142,496.0886
1800,604.15524,598.6167,612.6719,604.7497000000001,599.50315,607.39475,605.8133,598.9568,598.6167,607.9812,612.6719,598.9607,604.7391,607.9219,601.1305,604.7603
2000,783.17804,773.1998,818.7241,778.5572999999999,776.636275,783.52,783.9173,773.2312,777.3048,773.1998,777.0544,782.3281,818.7241,779.8098,776.4969,789.714
2200,1007.0384399999999,997.2043,1014.9898,1008.5316,1001.539625,1011.51685,1010.9617,1013.4076000000001,1006.7884,1000.2538000000001,1014.9898,997.2043,999.405,1010.2747999999999,1005.3970999999999,1011.7019
2400,1250.43044,1223.4107000000001,1281.4549,1252.6296,1243.739675,1256.96435,1260.8305,1257.613,1243.5692000000001,1255.0184,1254.3424,1250.9168,1223.4107000000001,1232.8973999999998,1281.4549,1244.2511
2600,1482.38229,1456.253,1541.4597,1474.8290000000002,1461.5159,1489.7816750000002,1541.4597,1463.1428,1493.6670000000001,1478.1257,1456.253,1475.1923,1521.9474,1474.4657000000002,1458.5957,1460.9736
2800,1732.12906,1668.2387999999999,1782.8382000000001,1730.6676,1720.2118999999998,1756.680375,1782.8382000000001,1724.8102999999999,1668.2387999999999,1688.6428,1735.1532,1777.7369,1763.8561,1728.3141,1733.0211,1718.6790999999998
3000,1953.43829,1935.181,1973.7117,1952.34175,1944.383975,1959.889475,1960.5127,1969.6963999999998,1954.5308,1943.1577,1958.0198,1935.181,1950.1527,1973.7117,1945.3622,1944.0579
3200,2396.85831,2378.733,2424.5926,2396.7576,2388.60165,2398.5000499999996,2424.5926,2378.733,2385.7300999999998,2386.6067000000003,2394.5865,2397.1165,2407.9436,2396.3987,2398.5624,2398.313
3400,2772.25033,2715.4384999999997,2886.5791,2744.9868,2729.068575,2815.488975,2727.9408,2734.3126,2715.4384999999997,2823.2637,2755.661,2716.8264999999997,2732.4519,2792.1648,2886.5791,2837.8644
3600,3054.53809,2994.4741000000004,3165.9027,3041.7615,3027.7225,3058.304425,3165.9027,3040.6657,3025.7819,3042.8573,3109.6845000000003,3045.8905,3024.1375000000003,2994.4741000000004,3033.5443,3062.4424
3800,3414.67623,3361.0317,3501.7984,3408.8523499999997,3372.472875,3440.9237,3361.0317,3363.9483,3380.8262999999997,3433.16,3369.6884,3443.5116,3475.0929,3387.4078999999997,3430.2967999999996,3501.7984
